,Itemset Number,Itemset,Support
223,2,"('Keyboard', 'SSD')",60
224,2,"('Keyboard', 'Sound Card')",71
225,2,"('Keyboard', 'Speakers')",61
226,2,"('Keyboard', 'Surge Protector')",55
227,2,"('Keyboard', 'Thermal Paste')",61
228,2,"('Keyboard', 'UPS')",60
229,2,"('Keyboard', 'USB Hub')",64
230,2,"('Keyboard', 'Webcam')",60
231,2,"('Monitor', 'Motherboard')",61
232,2,"('Monitor', 'Mouse')",64
233,2,"('Monitor', 'Network Card')",54
234,2,"('Monitor', 'Optical Drive')",55
235,2,"('Monitor', 'Power Supply')",49
236,2,"('Monitor', 'RAM')",48
237,2,"('Monitor', 'RGB Lighting')",54
238,2,"('Monitor', 'SSD')",62
239,2,"('Monitor', 'Sound Card')",71
240,2,"('Monitor', 'Speakers')",60
241,2,"('Monitor', 'Surge Protector')",50
242,2,"('Monitor', 'Thermal Paste')",59
243,2,"('Monitor', 'UPS')",66
244,2,"('Monitor', 'USB Hub')",54
245,2,"('Monitor', 'Webcam')",51
246,2,"('Motherboard', 'Mouse')",72
247,2,"('Motherboard', 'Network Card')",57
248,2,"('Motherboard', 'Optical Drive')",64
249,2,"('Motherboard', 'Power Supply')",60
250,2,"('Motherboard', 'RAM')",60
251,2,"('Motherboard', 'RGB Lighting')",61
252,2,"('Motherboard', 'SSD')",67
253,2,"('Motherboard', 'Sound Card')",65
254,2,"('Motherboard', 'Speakers')",65
255,2,"('Motherboard', 'Surge Protector')",75
256,2,"('Motherboard', 'Thermal Paste')",74
257,2,"('Motherboard', 'UPS')",74
258,2,"('Motherboard', 'USB Hub')",69
259,2,"('Motherboard', 'Webcam')",65
260,2,"('Mouse', 'Network Card')",62
261,2,"('Mouse', 'Optical Drive')",60
262,2,"('Mouse', 'Power Supply')",66
263,2,"('Mouse', 'RAM')",58
264,2,"('Mouse', 'RGB Lighting')",70
265,2,"('Mouse', 'SSD')",68
266,2,"('Mouse', 'Sound Card')",69
267,2,"('Mouse', 'Speakers')",65
268,2,"('Mouse', 'Surge Protector')",70
269,2,"('Mouse', 'Thermal Paste')",70
270,2,"('Mouse', 'UPS')",68
271,2,"('Mouse', 'USB Hub')",65
272,2,"('Mouse', 'Webcam')",56
273,2,"('Network Card', 'Optical Drive')",52
274,2,"('Network Card', 'Power Supply')",51
275,2,"('Network Card', 'RAM')",54
276,2,"('Network Card', 'RGB Lighting')",57
277,2,"('Network Card', 'SSD')",55
278,2,"('Network Card', 'Sound Card')",73
279,2,"('Network Card', 'Speakers')",55
280,2,"('Network Card', 'Surge Protector')",63
281,2,"('Network Card', 'Thermal Paste')",55
282,2,"('Network Card', 'UPS')",63
283,2,"('Network Card', 'USB Hub')",53
284,2,"('Network Card', 'Webcam')",55
285,2,"('Optical Drive', 'Power Supply')",58
286,2,"('Optical Drive', 'RAM')",56
287,2,"('Optical Drive', 'RGB Lighting')",60
288,2,"('Optical Drive', 'SSD')",69
289,2,"('Optical Drive', 'Sound Card')",77
290,2,"('Optical Drive', 'Speakers')",62
291,2,"('Optical Drive', 'Surge Protector')",54
292,2,"('Optical Drive', 'Thermal Paste')",82
293,2,"('Optical Drive', 'UPS')",55
294,2,"('Optical Drive', 'USB Hub')",62
295,2,"('Optical Drive', 'Webcam')",71
296,2,"('Power Supply', 'RAM')",46
297,2,"('Power Supply', 'RGB Lighting')",62
298,2,"('Power Supply', 'SSD')",60
299,2,"('Power Supply', 'Sound Card')",65
300,2,"('Power Supply', 'Speakers')",58
301,2,"('Power Supply', 'Surge Protector')",61
302,2,"('Power Supply', 'Thermal Paste')",60
303,2,"('Power Supply', 'UPS')",70
304,2,"('Power Supply', 'USB Hub')",70
305,2,"('Power Supply', 'Webcam')",53
306,2,"('RAM', 'RGB Lighting')",64
307,2,"('RAM', 'SSD')",63
308,2,"('RAM', 'Sound Card')",64
309,2,"('RAM', 'Speakers')",59
310,2,"('RAM', 'Surge Protector')",68
311,2,"('RAM', 'Thermal Paste')",52
312,2,"('RAM', 'UPS')",63
313,2,"('RAM', 'USB Hub')",61
314,2,"('RAM', 'Webcam')",55
315,2,"('RGB Lighting', 'SSD')",62
316,2,"('RGB Lighting', 'Sound Card')",66
317,2,"('RGB Lighting', 'Speakers')",59
318,2,"('RGB Lighting', 'Surge Protector')",69
319,2,"('RGB Lighting', 'Thermal Paste')",63
320,2,"('RGB Lighting', 'UPS')",68
321,2,"('RGB Lighting', 'USB Hub')",62
322,2,"('RGB Lighting', 'Webcam')",56
323,2,"('SSD', 'Sound Card')",69
324,2,"('SSD', 'Speakers')",60
325,2,"('SSD', 'Surge Protector')",63
326,2,"('SSD', 'Thermal Paste')",64
327,2,"('SSD', 'UPS')",59
328,2,"('SSD', 'USB Hub')",75
329,2,"('SSD', 'Webcam')",61
330,2,"('Sound Card', 'Speakers')",71
331,2,"('Sound Card', 'Surge Protector')",58
332,2,"('Sound Card', 'Thermal Paste')",81
333,2,"('Sound Card', 'UPS')",79
334,2,"('Sound Card', 'USB Hub')",61
335,2,"('Sound Card', 'Webcam')",67
336,2,"('Speakers', 'Surge Protector')",61
337,2,"('Speakers', 'Thermal Paste')",62
338,2,"('Speakers', 'UPS')",63
339,2,"('Speakers', 'USB Hub')",65
340,2,"('Speakers', 'Webcam')",64
341,2,"('Surge Protector', 'Thermal Paste')",59
342,2,"('Surge Protector', 'UPS')",81
343,2,"('Surge Protector', 'USB Hub')",75
344,2,"('Surge Protector', 'Webcam')",74
345,2,"('Thermal Paste', 'UPS')",70
346,2,"('Thermal Paste', 'USB Hub')",59
347,2,"('Thermal Paste', 'Webcam')",59
348,2,"('UPS', 'USB Hub')",60
349,2,"('UPS', 'Webcam')",50
350,2,"('USB Hub', 'Webcam')",58
351,3,"('CPU', 'CPU Cooler', 'Case')",13
352,3,"('CPU', 'CPU Cooler', 'Cooling Fan')",21
353,3,"('CPU', 'CPU Cooler', 'External HDD')",21
354,3,"('CPU', 'CPU Cooler', 'GPU')",18
355,3,"('CPU', 'CPU Cooler', 'Graphics Tablet')",16
356,3,"('CPU', 'CPU Cooler', 'HDD')",15
357,3,"('CPU', 'CPU Cooler', 'Headset')",13
358,3,"('CPU', 'CPU Cooler', 'Keyboard')",16
359,3,"('CPU', 'CPU Cooler', 'Monitor')",15
360,3,"('CPU', 'CPU Cooler', 'Motherboard')",19
361,3,"('CPU', 'CPU Cooler', 'Mouse')",19
362,3,"('CPU', 'CPU Cooler', 'Network Card')",15
363,3,"('CPU', 'CPU Cooler', 'Optical Drive')",23
364,3,"('CPU', 'CPU Cooler', 'Power Supply')",13
365,3,"('CPU', 'CPU Cooler', 'RAM')",12
366,3,"('CPU', 'CPU Cooler', 'RGB Lighting')",19
367,3,"('CPU', 'CPU Cooler', 'SSD')",17
368,3,"('CPU', 'CPU Cooler', 'Sound Card')",21
369,3,"('CPU', 'CPU Cooler', 'Speakers')",17
370,3,"('CPU', 'CPU Cooler', 'Surge Protector')",17
371,3,"('CPU', 'CPU Cooler', 'Thermal Paste')",14
372,3,"('CPU', 'CPU Cooler', 'UPS')",13
373,3,"('CPU', 'CPU Cooler', 'USB Hub')",18
374,3,"('CPU', 'CPU Cooler', 'Webcam')",19
375,3,"('CPU', 'Case', 'Cooling Fan')",18
376,3,"('CPU', 'Case', 'External HDD')",16
377,3,"('CPU', 'Case', 'GPU')",16
378,3,"('CPU', 'Case', 'Graphics Tablet')",17
379,3,"('CPU', 'Case', 'HDD')",19
380,3,"('CPU', 'Case', 'Headset')",14
381,3,"('CPU', 'Case', 'Keyboard')",14
382,3,"('CPU', 'Case', 'Monitor')",13
383,3,"('CPU', 'Case', 'Motherboard')",18
384,3,"('CPU', 'Case', 'Mouse')",15
385,3,"('CPU', 'Case', 'Network Card')",17
386,3,"('CPU', 'Case', 'Optical Drive')",18
387,3,"('CPU', 'Case', 'Power Supply')",16
388,3,"('CPU', 'Case', 'RAM')",22
389,3,"('CPU', 'Case', 'RGB Lighting')",23
390,3,"('CPU', 'Case', 'SSD')",17
391,3,"('CPU', 'Case', 'Sound Card')",19
392,3,"('CPU', 'Case', 'Speakers')",16
393,3,"('CPU', 'Case', 'Surge Protector')",20
394,3,"('CPU', 'Case', 'Thermal Paste')",18
395,3,"('CPU', 'Case', 'UPS')",14
396,3,"('CPU', 'Case', 'USB Hub')",23
397,3,"('CPU', 'Case', 'Webcam')",11
398,3,"('CPU', 'Cooling Fan', 'External HDD')",17
399,3,"('CPU', 'Cooling Fan', 'GPU')",17
400,3,"('CPU', 'Cooling Fan', 'Graphics Tablet')",26
401,3,"('CPU', 'Cooling Fan', 'HDD')",13
402,3,"('CPU', 'Cooling Fan', 'Headset')",15
403,3,"('CPU', 'Cooling Fan', 'Keyboard')",17
404,3,"('CPU', 'Cooling Fan', 'Monitor')",25
405,3,"('CPU', 'Cooling Fan', 'Motherboard')",27
406,3,"('CPU', 'Cooling Fan', 'Mouse')",21
407,3,"('CPU', 'Cooling Fan', 'Network Card')",21
408,3,"('CPU', 'Cooling Fan', 'Optical Drive')",23
409,3,"('CPU', 'Cooling Fan', 'Power Supply')",16
410,3,"('CPU', 'Cooling Fan', 'RAM')",14
411,3,"('CPU', 'Cooling Fan', 'RGB Lighting')",22
412,3,"('CPU', 'Cooling Fan', 'SSD')",17
413,3,"('CPU', 'Cooling Fan', 'Sound Card')",21
414,3,"('CPU', 'Cooling Fan', 'Speakers')",14
415,3,"('CPU', 'Cooling Fan', 'Surge Protector')",20
416,3,"('CPU', 'Cooling Fan', 'Thermal Paste')",14
417,3,"('CPU', 'Cooling Fan', 'UPS')",12
418,3,"('CPU', 'Cooling Fan', 'USB Hub')",13
419,3,"('CPU', 'Cooling Fan', 'Webcam')",16
420,3,"('CPU', 'External HDD', 'Graphics Tablet')",14
421,3,"('CPU', 'External HDD', 'HDD')",13
422,3,"('CPU', 'External HDD', 'Headset')",18
423,3,"('CPU', 'External HDD', 'Keyboard')",21
424,3,"('CPU', 'External HDD', 'Monitor')",15
425,3,"('CPU', 'External HDD', 'Motherboard')",17
426,3,"('CPU', 'External HDD', 'Mouse')",21
427,3,"('CPU', 'External HDD', 'Network Card')",13
428,3,"('CPU', 'External HDD', 'Optical Drive')",18
429,3,"('CPU', 'External HDD', 'Power Supply')",15
430,3,"('CPU', 'External HDD', 'RAM')",14
431,3,"('CPU', 'External HDD', 'RGB Lighting')",23
432,3,"('CPU', 'External HDD', 'SSD')",14
433,3,"('CPU', 'External HDD', 'Sound Card')",16
434,3,"('CPU', 'External HDD', 'Speakers')",19
435,3,"('CPU', 'External HDD', 'Surge Protector')",19
436,3,"('CPU', 'External HDD', 'Thermal Paste')",13
437,3,"('CPU', 'External HDD', 'UPS')",17
438,3,"('CPU', 'External HDD', 'USB Hub')",25
439,3,"('CPU', 'External HDD', 'Webcam')",10
440,3,"('CPU', 'GPU', 'Graphics Tablet')",19
441,3,"('CPU', 'GPU', 'HDD')",17
442,3,"('CPU', 'GPU', 'Headset')",14
443,3,"('CPU', 'GPU', 'Keyboard')",20
444,3,"('CPU', 'GPU', 'Monitor')",19
445,3,"('CPU', 'GPU', 'Motherboard')",22
446,3,"('CPU', 'GPU', 'Mouse')",19
447,3,"('CPU', 'GPU', 'Network Card')",24
448,3,"('CPU', 'GPU', 'Optical Drive')",15
449,3,"('CPU', 'GPU', 'Power Supply')",18
450,3,"('CPU', 'GPU', 'RAM')",13
451,3,"('CPU', 'GPU', 'RGB Lighting')",13
452,3,"('CPU', 'GPU', 'SSD')",16
453,3,"('CPU', 'GPU', 'Sound Card')",24
454,3,"('CPU', 'GPU', 'Speakers')",22
455,3,"('CPU', 'GPU', 'Surge Protector')",16
456,3,"('CPU', 'GPU', 'Thermal Paste')",17
457,3,"('CPU', 'GPU', 'UPS')",14
458,3,"('CPU', 'GPU', 'USB Hub')",17
459,3,"('CPU', 'GPU', 'Webcam')",18
460,3,"('CPU', 'Graphics Tablet', 'HDD')",10
461,3,"('CPU', 'Graphics Tablet', 'Headset')",12
462,3,"('CPU', 'Graphics Tablet', 'Keyboard')",14
463,3,"('CPU', 'Graphics Tablet', 'Monitor')",21
464,3,"('CPU', 'Graphics Tablet', 'Motherboard')",19
465,3,"('CPU', 'Graphics Tablet', 'Mouse')",19
466,3,"('CPU', 'Graphics Tablet', 'Network Card')",16
467,3,"('CPU', 'Graphics Tablet', 'Optical Drive')",18
468,3,"('CPU', 'Graphics Tablet', 'Power Supply')",17
469,3,"('CPU', 'Graphics Tablet', 'RAM')",10
470,3,"('CPU', 'Graphics Tablet', 'RGB Lighting')",17
471,3,"('CPU', 'Graphics Tablet', 'SSD')",16
472,3,"('CPU', 'Graphics Tablet', 'Sound Card')",18
473,3,"('CPU', 'Graphics Tablet', 'Speakers')",15
474,3,"('CPU', 'Graphics Tablet', 'Surge Protector')",12
475,3,"('CPU', 'Graphics Tablet', 'Thermal Paste')",12
476,3,"('CPU', 'Graphics Tablet', 'USB Hub')",15
477,3,"('CPU', 'Graphics Tablet', 'Webcam')",15
478,3,"('CPU', 'HDD', 'Headset')",21
479,3,"('CPU', 'HDD', 'Keyboard')",13
480,3,"('CPU', 'HDD', 'Monitor')",14
481,3,"('CPU', 'HDD', 'Motherboard')",10
482,3,"('CPU', 'HDD', 'Mouse')",18
483,3,"('CPU', 'HDD', 'Network Card')",12
484,3,"('CPU', 'HDD', 'Optical Drive')",15
485,3,"('CPU', 'HDD', 'Power Supply')",11
486,3,"('CPU', 'HDD', 'RAM')",16
487,3,"('CPU', 'HDD', 'RGB Lighting')",18
488,3,"('CPU', 'HDD', 'SSD')",14
489,3,"('CPU', 'HDD', 'Sound Card')",20
490,3,"('CPU', 'HDD', 'Speakers')",17
491,3,"('CPU', 'HDD', 'Surge Protector')",15
492,3,"('CPU', 'HDD', 'Thermal Paste')",14
493,3,"('CPU', 'HDD', 'UPS')",17
494,3,"('CPU', 'HDD', 'USB Hub')",14
495,3,"('CPU', 'HDD', 'Webcam')",16
496,3,"('CPU', 'Headset', 'Keyboard')",20
497,3,"('CPU', 'Headset', 'Monitor')",16
498,3,"('CPU', 'Headset', 'Motherboard')",15
499,3,"('CPU', 'Headset', 'Mouse')",18
500,3,"('CPU', 'Headset', 'Network Card')",23
501,3,"('CPU', 'Headset', 'Optical Drive')",15
502,3,"('CPU', 'Headset', 'Power Supply')",13
503,3,"('CPU', 'Headset', 'RGB Lighting')",24
504,3,"('CPU', 'Headset', 'SSD')",18
505,3,"('CPU', 'Headset', 'Sound Card')",24
506,3,"('CPU', 'Headset', 'Speakers')",16
507,3,"('CPU', 'Headset', 'Surge Protector')",17
508,3,"('CPU', 'Headset', 'Thermal Paste')",11
509,3,"('CPU', 'Headset', 'UPS')",24
510,3,"('CPU', 'Headset', 'USB Hub')",17
511,3,"('CPU', 'Headset', 'Webcam')",15
512,3,"('CPU', 'Keyboard', 'Monitor')",18
513,3,"('CPU', 'Keyboard', 'Motherboard')",18
514,3,"('CPU', 'Keyboard', 'Mouse')",20
515,3,"('CPU', 'Keyboard', 'Network Card')",17
516,3,"('CPU', 'Keyboard', 'Optical Drive')",14
517,3,"('CPU', 'Keyboard', 'Power Supply')",24
518,3,"('CPU', 'Keyboard', 'RAM')",18
519,3,"('CPU', 'Keyboard', 'RGB Lighting')",22
520,3,"('CPU', 'Keyboard', 'SSD')",16
521,3,"('CPU', 'Keyboard', 'Sound Card')",25
522,3,"('CPU', 'Keyboard', 'Speakers')",19
523,3,"('CPU', 'Keyboard', 'Surge Protector')",17
524,3,"('CPU', 'Keyboard', 'Thermal Paste')",13
525,3,"('CPU', 'Keyboard', 'UPS')",16
526,3,"('CPU', 'Keyboard', 'USB Hub')",21
527,3,"('CPU', 'Keyboard', 'Webcam')",21
528,3,"('CPU', 'Monitor', 'Motherboard')",21
529,3,"('CPU', 'Monitor', 'Mouse')",21
530,3,"('CPU', 'Monitor', 'Network Card')",20
531,3,"('CPU', 'Monitor', 'Optical Drive')",20
532,3,"('CPU', 'Monitor', 'Power Supply')",16
533,3,"('CPU', 'Monitor', 'RAM')",15
534,3,"('CPU', 'Monitor', 'RGB Lighting')",14
535,3,"('CPU', 'Monitor', 'SSD')",21
536,3,"('CPU', 'Monitor', 'Sound Card')",22
537,3,"('CPU', 'Monitor', 'Speakers')",20
538,3,"('CPU', 'Monitor', 'Surge Protector')",13
539,3,"('CPU', 'Monitor', 'Thermal Paste')",11
540,3,"('CPU', 'Monitor', 'UPS')",18
541,3,"('CPU', 'Monitor', 'USB Hub')",19
542,3,"('CPU', 'Monitor', 'Webcam')",13
543,3,"('CPU', 'Motherboard', 'Mouse')",18
544,3,"('CPU', 'Motherboard', 'Network Card')",20
545,3,"('CPU', 'Motherboard', 'Optical Drive')",18
546,3,"('CPU', 'Motherboard', 'Power Supply')",21
547,3,"('CPU', 'Motherboard', 'RAM')",16
548,3,"('CPU', 'Motherboard', 'RGB Lighting')",23
549,3,"('CPU', 'Motherboard', 'SSD')",18
550,3,"('CPU', 'Motherboard', 'Sound Card')",19
551,3,"('CPU', 'Motherboard', 'Speakers')",21
552,3,"('CPU', 'Motherboard', 'Surge Protector')",21
553,3,"('CPU', 'Motherboard', 'Thermal Paste')",14
554,3,"('CPU', 'Motherboard', 'UPS')",16
555,3,"('CPU', 'Motherboard', 'USB Hub')",19
556,3,"('CPU', 'Motherboard', 'Webcam')",16
557,3,"('CPU', 'Mouse', 'Network Card')",15
558,3,"('CPU', 'Mouse', 'Optical Drive')",15
559,3,"('CPU', 'Mouse', 'Power Supply')",15
560,3,"('CPU', 'Mouse', 'RAM')",12
561,3,"('CPU', 'Mouse', 'RGB Lighting')",20
562,3,"('CPU', 'Mouse', 'SSD')",18
563,3,"('CPU', 'Mouse', 'Sound Card')",22
564,3,"('CPU', 'Mouse', 'Speakers')",17
565,3,"('CPU', 'Mouse', 'Surge Protector')",17
566,3,"('CPU', 'Mouse', 'Thermal Paste')",18
567,3,"('CPU', 'Mouse', 'UPS')",16
568,3,"('CPU', 'Mouse', 'USB Hub')",22
569,3,"('CPU', 'Mouse', 'Webcam')",20
570,3,"('CPU', 'Network Card', 'Optical Drive')",12
571,3,"('CPU', 'Network Card', 'Power Supply')",16
572,3,"('CPU', 'Network Card', 'RGB Lighting')",22
573,3,"('CPU', 'Network Card', 'SSD')",15
574,3,"('CPU', 'Network Card', 'Sound Card')",28
575,3,"('CPU', 'Network Card', 'Speakers')",18
576,3,"('CPU', 'Network Card', 'Surge Protector')",18
577,3,"('CPU', 'Network Card', 'Thermal Paste')",15
